StudentID,study_hours,attendance_percentage,participation_rate,total_score,grade,at_risk,risk_label,attendance_band,study_band,meets_70_rule,dataset
795,7.4,97.7,6.0,73.7,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
796,22.4,86.4,6.6,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
797,14.7,82.6,4.4,97.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
798,19.8,73.6,7.4,80.1,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
799,15.2,81.7,4.4,90.1,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
800,15.2,72.5,6.4,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
801,21.6,73.2,7.5,89.3,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
802,11.4,74.1,4.5,80.6,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
803,15.7,93.0,6.2,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
804,11.8,83.6,6.2,68.5,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
805,12.0,86.6,6.8,75.6,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
806,12.8,77.6,9.0,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
807,16.6,72.1,4.8,97.5,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
808,11.6,79.2,8.0,84.5,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
809,23.8,100.0,5.3,93.9,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
810,8.7,90.1,4.2,74.1,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
811,13.7,95.7,6.2,77.1,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
812,11.9,85.8,6.2,74.8,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
813,25.1,84.2,6.4,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
814,16.4,85.6,4.8,96.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
815,22.2,57.4,6.1,100.0,A,0,Not at risk,50-70%,20-30h,Not eligible,B (secondary)
816,4.6,93.4,5.5,51.4,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
817,16.9,64.0,5.0,80.3,B,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
818,21.2,81.8,4.9,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
819,15.6,65.4,4.4,88.4,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
820,22.5,91.4,5.6,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
821,11.4,79.3,2.3,75.3,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
822,24.9,97.8,3.5,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
823,31.1,86.7,7.1,100.0,A,0,Not at risk,Above 85%,Over 30h,Eligible,B (secondary)
824,12.5,92.7,7.9,75.1,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
825,11.9,78.9,6.8,75.5,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
826,25.2,68.0,4.9,100.0,A,0,Not at risk,50-70%,20-30h,Not eligible,B (secondary)
827,26.1,92.7,5.9,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
828,11.3,81.2,7.5,62.2,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
829,12.1,98.9,7.2,71.6,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
830,13.0,64.2,5.4,97.3,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
831,5.6,76.0,9.1,60.5,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
832,8.6,59.9,7.2,65.2,C,0,Not at risk,50-70%,Under 10h,Not eligible,B (secondary)
833,8.0,79.4,4.8,71.7,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
834,9.6,89.3,4.7,77.6,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
835,14.8,83.7,7.5,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
836,16.6,88.9,4.6,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
837,25.9,86.2,9.1,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
838,8.0,68.7,9.8,100.0,A,0,Not at risk,50-70%,Under 10h,Not eligible,B (secondary)
839,21.9,87.9,6.9,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
840,13.5,94.0,5.8,77.3,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
841,14.7,79.6,2.5,68.3,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
842,19.7,85.9,5.6,90.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
843,7.1,75.0,4.8,64.4,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
844,17.7,100.0,8.8,92.2,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
845,16.2,67.9,5.7,70.5,B,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
846,18.4,77.4,5.3,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
847,17.0,85.8,4.7,80.5,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
848,32.2,90.5,7.2,100.0,A,0,Not at risk,Above 85%,Over 30h,Eligible,B (secondary)
849,10.5,77.8,4.3,80.0,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
850,11.3,79.8,8.1,76.3,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
851,10.6,89.2,5.3,86.8,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
852,11.1,69.4,6.8,90.2,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
853,10.5,91.0,5.8,71.2,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
854,23.3,100.0,4.0,94.4,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
855,24.9,88.9,4.8,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
856,11.0,100.0,5.9,89.9,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
857,9.2,79.4,8.3,62.0,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
858,18.3,96.1,5.1,77.0,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
859,11.1,90.0,7.0,88.8,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
860,19.4,77.9,6.9,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
861,16.4,83.3,5.3,90.8,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
862,4.4,82.0,5.1,55.3,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
863,25.8,75.6,7.4,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
864,27.6,95.7,4.3,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
865,10.7,75.4,6.4,65.7,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
866,12.3,100.0,8.2,86.3,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
867,17.0,79.6,10.0,87.1,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
868,17.3,87.5,5.3,96.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
869,19.6,76.0,7.0,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
870,29.1,92.6,1.0,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
871,13.8,77.4,6.7,90.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
872,9.4,100.0,6.6,95.8,A,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
873,5.3,96.7,6.5,58.9,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
874,9.9,97.1,6.2,61.4,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
875,14.8,88.1,6.2,65.0,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
876,27.6,86.1,8.2,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
877,11.4,95.3,7.9,58.1,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
878,16.6,94.2,5.8,99.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
879,14.9,75.6,7.6,96.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
880,23.3,84.4,6.9,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
881,32.7,81.8,5.3,100.0,A,0,Not at risk,70-85%,Over 30h,Eligible,B (secondary)
882,11.3,89.6,7.6,63.2,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
883,11.6,96.5,5.4,65.5,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
884,22.3,85.6,6.2,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
885,19.8,87.6,6.5,90.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
886,27.9,96.3,6.2,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
887,19.1,70.0,4.9,85.0,A,0,Not at risk,50-70%,10-20h,Eligible,B (secondary)
888,12.5,73.1,6.4,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
889,19.1,97.6,5.5,88.6,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
890,22.8,79.9,5.0,90.3,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
891,20.7,92.7,6.0,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
892,18.6,78.7,5.5,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
893,22.5,93.6,8.5,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
894,23.2,84.2,8.2,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
895,24.7,76.6,7.7,92.6,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
896,19.5,96.5,6.9,94.2,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
897,13.8,89.4,4.6,70.1,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
898,16.0,79.2,9.0,90.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
899,23.4,87.4,4.1,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
900,9.3,71.1,7.3,76.5,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
901,17.6,78.6,2.5,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
902,12.2,72.3,4.5,73.3,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
903,15.2,87.1,5.4,86.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
904,23.9,72.9,5.6,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
905,16.3,73.1,1.9,77.9,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
906,15.3,87.0,1.6,97.9,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
907,5.5,79.6,4.5,79.2,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
908,20.2,100.0,7.2,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
909,19.5,78.9,0.0,82.8,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
910,30.1,81.8,2.9,100.0,A,0,Not at risk,70-85%,Over 30h,Eligible,B (secondary)
911,12.8,77.0,6.2,90.3,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
912,16.5,81.7,5.4,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
913,16.7,83.5,9.5,89.6,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
914,26.0,73.8,8.9,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
915,14.3,78.7,8.5,89.4,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
916,17.0,75.6,4.4,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
917,19.3,87.4,3.0,96.3,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
918,16.3,84.3,1.6,79.3,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
919,11.9,69.5,5.1,85.6,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
920,16.4,90.4,6.5,80.4,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
921,22.5,80.7,6.6,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
922,7.8,90.0,8.9,66.2,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
923,15.9,76.5,2.8,87.9,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
924,10.1,92.1,9.8,69.3,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
925,23.4,89.3,5.1,98.9,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
926,4.3,80.2,6.1,65.2,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
927,11.1,93.1,6.7,77.1,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
928,17.6,69.1,4.6,88.5,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
929,26.0,88.0,8.8,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
930,14.5,85.7,6.5,85.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
931,11.1,60.5,6.5,86.6,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
932,28.2,91.5,5.1,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
933,4.9,67.1,2.1,54.9,D,1,At risk,50-70%,Under 10h,Not eligible,B (secondary)
934,0.0,86.7,6.2,51.7,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
935,18.1,87.1,9.5,91.9,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
936,11.5,93.0,3.2,72.2,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
937,7.9,87.5,4.1,59.6,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
938,20.0,68.2,6.2,100.0,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
939,16.7,98.6,7.4,97.6,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
940,11.1,80.3,6.4,92.1,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
941,6.0,90.4,7.9,53.3,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
942,21.1,76.8,8.1,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
943,19.6,70.4,6.3,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
944,14.3,99.1,7.6,80.0,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
945,27.9,87.7,8.7,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
946,7.5,88.7,7.8,73.3,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
947,4.3,97.0,9.2,64.4,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
948,10.2,80.3,5.5,71.1,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
949,14.7,83.8,5.3,90.8,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
950,16.7,83.1,6.3,77.4,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
951,13.3,91.7,8.5,87.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
952,17.5,78.2,5.9,88.1,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
953,6.2,70.0,8.0,62.4,C,0,Not at risk,50-70%,Under 10h,Eligible,B (secondary)
954,25.1,92.8,4.8,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
955,14.4,82.7,7.2,87.6,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
956,22.8,68.9,7.1,100.0,A,0,Not at risk,50-70%,20-30h,Not eligible,B (secondary)
957,17.4,97.6,1.8,98.9,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
958,18.2,91.0,8.1,99.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
959,19.0,70.0,2.7,88.2,A,0,Not at risk,50-70%,10-20h,Eligible,B (secondary)
960,18.1,91.5,5.3,94.7,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
961,19.5,70.3,8.5,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
962,24.3,95.4,3.9,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
963,16.4,90.9,6.2,80.7,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
964,20.0,80.8,4.7,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
965,14.4,96.9,5.3,95.9,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
966,25.1,80.3,4.4,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
967,10.3,81.8,5.5,44.7,D,1,At risk,70-85%,10-20h,Eligible,B (secondary)
968,27.6,87.4,3.4,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
969,14.7,75.3,3.0,91.3,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
970,5.0,82.1,4.1,59.9,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
971,15.9,91.3,6.8,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
972,10.2,94.7,6.3,82.3,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
973,20.9,87.2,2.8,85.5,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
974,10.4,75.6,2.6,67.9,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
975,11.9,79.5,5.3,62.4,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
976,1.8,77.2,8.7,60.3,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
977,11.8,67.7,5.7,74.4,B,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
978,0.0,95.6,3.0,35.8,F,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
979,3.9,68.8,7.7,58.1,C,0,Not at risk,50-70%,Under 10h,Not eligible,B (secondary)
980,20.3,100.0,6.6,95.8,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
981,20.5,78.1,3.7,98.3,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
982,18.0,69.7,6.6,100.0,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
983,8.2,75.1,6.0,63.8,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
984,14.7,95.3,8.7,95.2,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
985,15.0,86.3,2.8,92.5,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
986,6.9,85.0,5.8,68.2,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
987,25.5,88.4,8.0,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
988,21.1,86.6,7.6,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
989,13.5,80.5,5.5,91.6,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
990,15.2,77.9,5.7,81.7,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
991,16.5,50.0,6.0,98.9,A,0,Not at risk,Below 50%,10-20h,Not eligible,B (secondary)
992,0.7,97.8,5.4,61.8,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
993,13.3,92.4,5.0,81.7,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
994,10.2,77.6,4.0,76.8,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
995,8.0,94.0,5.4,66.2,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
996,13.0,72.5,3.2,78.1,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
997,27.6,92.9,6.5,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
998,19.5,70.2,5.5,91.7,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
999,11.0,76.0,4.4,80.7,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1000,19.0,86.8,7.4,77.2,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1001,24.8,70.7,5.6,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1002,21.5,96.1,6.0,96.3,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
1003,15.4,93.3,5.4,90.3,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1004,10.5,91.3,1.2,77.5,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1005,19.9,87.4,7.1,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1006,17.8,93.2,8.2,95.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1007,21.3,83.7,4.1,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1008,19.4,70.4,7.0,97.6,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1009,22.3,72.9,6.5,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1010,11.3,89.8,4.9,84.2,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1011,24.2,97.8,4.4,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
1012,16.4,92.7,6.9,94.5,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1013,29.5,67.6,7.5,100.0,A,0,Not at risk,50-70%,20-30h,Not eligible,B (secondary)
1014,10.2,88.6,5.3,71.7,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1015,27.2,83.8,4.2,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1016,16.4,99.6,6.4,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1017,10.4,79.5,3.8,66.1,C,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1018,11.6,88.9,6.0,64.1,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1019,12.8,94.2,5.6,71.2,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1020,18.0,73.6,2.6,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1021,18.7,68.3,2.2,84.7,B,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
1022,11.0,70.8,0.0,96.1,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1023,14.8,58.4,6.7,86.1,A,0,Not at risk,50-70%,10-20h,Not eligible,B (secondary)
1024,30.0,80.3,3.6,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1025,27.1,93.7,4.7,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
1026,18.1,82.9,3.5,96.4,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1027,15.3,93.7,3.5,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1028,15.8,77.8,8.9,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1029,19.3,78.3,5.3,98.3,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1030,7.8,65.5,7.7,63.5,C,0,Not at risk,50-70%,Under 10h,Not eligible,B (secondary)
1031,13.2,85.6,3.0,74.7,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1032,3.3,85.1,7.1,61.4,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
1033,17.8,100.0,5.3,93.1,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1034,19.5,86.0,4.0,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1035,11.6,75.9,9.4,81.2,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1036,26.0,70.0,6.1,100.0,A,0,Not at risk,50-70%,20-30h,Eligible,B (secondary)
1037,6.4,89.1,9.9,74.2,B,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
1038,4.7,96.1,5.5,65.2,C,0,Not at risk,Above 85%,Under 10h,Eligible,B (secondary)
1039,16.6,86.3,6.9,71.2,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1040,22.3,88.3,9.8,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
1041,26.8,82.3,6.1,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1042,11.8,77.2,7.8,79.4,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1043,22.6,83.5,7.7,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1044,14.7,94.2,4.1,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1045,13.8,95.0,5.6,87.7,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1046,21.2,78.0,10.0,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1047,19.6,96.3,4.6,100.0,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1048,4.0,89.6,2.4,54.5,D,1,At risk,Above 85%,Under 10h,Eligible,B (secondary)
1049,25.3,82.1,1.5,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1050,24.7,84.9,7.9,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1051,10.6,79.9,2.4,77.3,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1052,17.8,88.9,5.7,96.8,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1053,18.5,79.7,8.1,98.7,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1054,16.8,100.0,4.5,91.5,A,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1055,11.1,79.4,3.0,85.2,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1056,10.3,74.9,6.9,70.7,B,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1057,14.8,87.7,10.0,65.2,C,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1058,23.2,94.7,3.1,100.0,A,0,Not at risk,Above 85%,20-30h,Eligible,B (secondary)
1059,18.8,82.1,8.2,100.0,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1060,12.4,85.4,6.4,80.2,B,0,Not at risk,Above 85%,10-20h,Eligible,B (secondary)
1061,20.4,83.7,3.3,90.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1062,0.0,83.7,9.7,58.7,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
1063,23.0,77.5,7.7,100.0,A,0,Not at risk,70-85%,20-30h,Eligible,B (secondary)
1064,2.8,75.9,8.6,50.2,D,1,At risk,70-85%,Under 10h,Eligible,B (secondary)
1065,12.5,79.1,4.9,95.7,A,0,Not at risk,70-85%,10-20h,Eligible,B (secondary)
1066,7.2,73.1,5.8,75.7,B,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
1067,5.9,76.5,4.9,68.9,C,0,Not at risk,70-85%,Under 10h,Eligible,B (secondary)
