ID,prior_gpa,test_score,attendance_rate,assignment_rate,risk_level,at_risk,risk_label,attendance_band,gpa_band,meets_70_rule,dataset
303,3.17,24,96,61,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
304,2.17,22,81,90,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
305,3.44,28,73,95,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
306,2.41,19,74,50,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
307,3.29,19,88,82,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
308,2.11,22,76,78,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
309,3.67,25,93,62,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
310,2.04,23,74,57,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
311,2.31,20,86,92,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
312,3.89,22,94,78,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
313,2.82,28,71,86,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
314,2.19,26,78,66,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
315,2.49,22,68,59,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
316,2.48,23,63,67,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
317,2.95,27,63,81,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
318,2.44,30,77,56,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
319,3.58,26,85,52,Low,0,Not at risk,70-85%,Above 3.5,Eligible,A (primary)
320,3.58,29,100,80,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
321,3.1,24,71,59,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
322,3.52,26,69,67,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
323,3.53,20,85,83,Low,0,Not at risk,70-85%,Above 3.5,Eligible,A (primary)
324,3.29,29,92,75,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
325,3.57,20,65,67,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
326,3.1,26,72,99,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
327,3.83,22,90,93,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
328,3.36,25,85,80,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
329,3.06,20,91,58,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
330,3.13,26,95,67,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
331,3.13,24,95,84,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
332,3.12,20,90,77,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
333,3.45,27,96,70,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
334,3.25,22,61,84,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
335,2.02,26,83,74,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
336,3.26,24,95,89,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
337,3.22,19,70,63,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
338,3.63,20,68,64,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
339,2.02,25,95,72,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
340,3.99,21,91,55,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
341,2.41,21,95,85,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
342,2.38,22,72,88,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
343,2.35,24,83,53,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
344,2.29,27,85,52,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
345,3.77,27,94,92,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
346,2.02,28,89,93,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
347,2.7,26,65,64,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
348,3.83,24,100,92,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
349,2.22,27,94,88,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
350,3.12,28,88,76,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
351,3.75,26,62,88,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
352,3.7,23,67,55,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
353,2.39,29,83,93,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
354,3.21,29,87,73,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
355,3.91,24,85,76,Low,0,Not at risk,70-85%,Above 3.5,Eligible,A (primary)
356,3.48,27,95,61,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
357,2.43,19,88,77,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
358,3.27,22,62,83,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
359,2.06,23,66,79,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
360,3.67,30,93,64,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
361,3.0,27,68,98,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
362,3.43,24,87,94,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
363,3.29,23,87,62,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
364,3.61,30,100,79,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
365,3.01,27,96,58,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
366,3.91,27,92,75,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
367,3.64,30,96,83,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
368,3.05,24,91,98,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
369,3.17,22,85,54,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
370,3.23,24,67,74,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
371,2.87,24,65,50,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
372,3.83,26,97,84,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
373,3.39,21,85,77,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
374,3.55,25,92,78,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
375,3.13,27,96,72,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
376,3.29,21,62,69,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
377,3.31,28,97,67,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
378,2.86,23,64,85,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
379,2.16,27,87,72,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
380,3.52,18,74,56,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
381,2.05,20,81,72,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
382,3.41,23,68,64,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
383,2.39,23,61,78,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
384,3.3,28,97,89,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
385,2.43,25,60,95,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
386,3.15,27,74,73,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
387,3.69,20,93,97,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
388,2.23,21,61,71,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
389,3.53,25,87,85,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
390,2.09,18,87,86,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
391,3.67,26,95,70,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
392,3.2,27,92,52,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
393,3.11,22,63,86,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
394,3.05,25,96,55,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
395,2.43,23,80,84,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
396,2.31,24,68,86,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
397,2.62,24,69,72,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
398,3.02,20,63,84,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
399,3.6,20,97,50,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
400,3.92,20,65,87,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
401,2.5,20,64,53,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
402,3.3,18,85,59,Low,0,Not at risk,70-85%,2.5-3.5,Eligible,A (primary)
403,3.29,18,64,53,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
404,3.81,19,63,66,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
405,3.2,27,96,76,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
406,2.71,25,73,55,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
407,3.29,23,70,63,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
408,2.87,24,65,79,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
409,3.52,24,69,84,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
410,2.09,19,92,98,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
411,3.53,25,68,53,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
412,2.06,18,94,81,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
413,3.55,26,85,70,Low,0,Not at risk,70-85%,Above 3.5,Eligible,A (primary)
414,3.79,21,61,82,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
415,2.8,26,63,55,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
416,2.42,26,85,64,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
417,3.74,23,65,92,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
418,2.35,26,65,78,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
419,2.23,22,84,96,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
420,3.74,29,93,60,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
421,3.26,19,69,73,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
422,3.73,19,73,91,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
423,3.24,20,96,78,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
424,3.72,29,97,93,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
425,2.25,25,74,95,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
426,2.46,25,88,94,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
427,3.09,24,87,61,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
428,2.93,26,73,94,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
429,3.46,28,94,86,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
430,3.92,18,99,70,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
431,3.49,24,87,79,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
432,3.1,28,64,85,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
433,2.15,23,88,56,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
434,3.49,29,97,90,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
435,3.44,22,91,78,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
436,3.36,23,96,68,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
437,3.03,23,74,60,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
438,3.18,18,98,63,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
439,3.13,25,65,99,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
440,2.92,28,70,59,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
441,3.26,21,94,81,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
442,2.16,26,84,98,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
443,2.01,20,74,91,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
444,2.69,19,61,79,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
445,3.99,25,68,91,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
446,3.33,29,89,60,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
447,2.55,24,67,58,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
448,3.87,19,92,90,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
449,3.39,29,62,93,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
450,3.78,28,95,70,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
451,3.22,23,96,54,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
452,3.26,21,88,66,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
453,3.87,19,61,100,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
454,3.63,30,98,70,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
455,3.77,29,94,59,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
456,3.05,20,94,99,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
457,3.83,20,63,78,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
458,3.51,29,98,94,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
459,3.12,27,73,100,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
460,2.04,24,86,72,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
461,3.17,25,67,78,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
462,2.34,28,97,57,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
463,3.5,29,88,66,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
464,2.55,27,72,69,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
465,3.57,25,69,53,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
466,2.77,21,66,94,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
467,3.59,25,97,81,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
468,3.31,22,88,88,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
469,2.2,23,63,92,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
470,3.36,26,86,83,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
471,2.44,22,93,63,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
472,2.69,25,67,91,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
473,2.46,27,73,68,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
474,3.31,21,90,51,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
475,3.06,19,92,76,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
476,2.08,24,62,63,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
477,2.45,20,92,56,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
478,3.09,22,64,88,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
479,3.38,19,88,80,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
480,3.28,26,66,92,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
481,3.77,29,85,50,Low,0,Not at risk,70-85%,Above 3.5,Eligible,A (primary)
482,2.06,18,88,80,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
483,2.91,30,71,81,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
484,2.48,28,74,66,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
485,3.42,19,94,64,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
486,2.25,27,99,85,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
487,3.1,30,64,73,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
488,3.55,18,88,55,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
489,3.09,30,89,74,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
490,3.17,22,98,100,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
491,3.89,23,67,54,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
492,3.42,30,73,68,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
493,2.41,19,74,80,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
494,3.48,20,72,66,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
495,3.71,28,71,64,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
496,3.1,26,99,67,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
497,3.19,19,61,98,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
498,3.46,27,70,86,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
499,3.55,29,97,79,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
500,2.09,25,90,75,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
501,3.39,22,90,79,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
502,3.36,22,63,98,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
503,2.63,29,66,58,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
504,3.4,25,68,78,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
505,3.81,28,71,99,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
506,2.92,23,63,62,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
507,3.57,29,98,80,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
508,2.42,26,62,84,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
509,2.65,21,60,95,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
510,2.42,26,66,53,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
511,2.39,28,67,82,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
512,2.33,27,66,52,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
513,3.99,18,96,75,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
514,3.11,27,96,69,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
515,3.34,29,88,61,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
516,2.76,20,66,76,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
517,2.82,22,68,78,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
518,3.49,21,89,77,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
519,3.07,29,93,76,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
520,2.47,20,77,57,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
521,2.62,21,70,69,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
522,2.54,24,62,72,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
523,3.85,22,65,65,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
524,3.19,25,65,56,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
525,3.15,27,62,65,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
526,3.92,19,87,70,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
527,3.57,22,93,86,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
528,3.22,26,68,69,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
529,3.31,29,63,51,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
530,3.86,19,86,59,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
531,3.61,28,92,98,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
532,2.59,26,63,61,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
533,3.71,30,65,94,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
534,3.57,21,87,88,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
535,3.36,28,97,66,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
536,2.24,23,96,90,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
537,2.38,29,68,64,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
538,3.61,23,95,90,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
539,2.99,29,72,53,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
540,3.46,26,98,59,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
541,3.66,23,73,59,High,1,At risk,70-85%,Above 3.5,Eligible,A (primary)
542,3.73,19,92,97,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
543,3.39,22,90,70,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
544,2.01,28,63,99,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
545,3.1,25,65,79,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
546,2.91,20,70,67,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
547,2.24,26,63,82,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
548,3.21,29,91,66,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
549,2.07,23,81,71,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
550,2.19,26,93,93,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
551,3.77,24,60,84,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
552,2.01,27,83,65,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
553,3.13,25,72,89,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
554,2.87,26,65,84,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
555,2.41,19,65,88,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
556,3.52,20,88,94,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
557,3.27,24,94,90,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
558,3.88,24,69,73,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
559,2.72,29,63,70,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
560,3.31,19,66,90,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
561,3.35,27,97,66,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
562,2.01,30,95,76,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
563,3.25,20,62,81,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
564,3.41,25,92,63,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
565,2.1,21,95,52,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
566,2.33,19,63,94,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
567,3.11,21,61,63,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
568,3.87,19,68,62,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
569,3.18,18,98,62,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
570,3.71,30,93,63,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
571,3.07,19,63,51,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
572,2.9,25,70,72,High,1,At risk,50-70%,2.5-3.5,Eligible,A (primary)
573,3.99,24,62,97,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
574,3.85,19,88,73,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
575,3.26,20,96,79,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
576,2.49,27,86,77,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
577,2.1,23,72,79,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
578,2.37,24,70,98,High,1,At risk,50-70%,2.0-2.5,Eligible,A (primary)
579,2.75,18,73,70,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
580,2.45,30,69,86,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
581,2.27,21,96,61,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
582,3.59,30,100,80,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
583,3.38,19,64,58,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
584,3.47,30,62,72,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
585,3.8,25,66,63,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
586,3.13,20,64,98,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
587,2.42,23,81,81,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
588,3.81,23,61,85,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
589,3.16,19,69,73,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
590,3.05,29,65,73,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
591,3.09,24,68,79,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
592,2.06,19,73,66,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
593,3.48,20,90,65,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
594,3.77,30,70,75,High,1,At risk,50-70%,Above 3.5,Eligible,A (primary)
595,2.21,25,62,61,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
596,3.79,22,96,62,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
597,3.53,24,88,83,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
598,2.26,25,62,95,High,1,At risk,50-70%,2.0-2.5,Not eligible,A (primary)
599,3.37,26,98,89,Low,0,Not at risk,Above 85%,2.5-3.5,Eligible,A (primary)
600,3.81,26,97,81,Low,0,Not at risk,Above 85%,Above 3.5,Eligible,A (primary)
601,3.61,20,69,90,High,1,At risk,50-70%,Above 3.5,Not eligible,A (primary)
602,3.21,27,68,56,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
603,3.13,23,64,69,High,1,At risk,50-70%,2.5-3.5,Not eligible,A (primary)
604,2.04,26,91,70,High,1,At risk,Above 85%,2.0-2.5,Eligible,A (primary)
605,2.43,19,71,63,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
606,2.63,21,72,87,High,1,At risk,70-85%,2.5-3.5,Eligible,A (primary)
607,2.28,19,79,60,High,1,At risk,70-85%,2.0-2.5,Eligible,A (primary)
